,org,repo,ref,pageviews,unique_pageviews
1140,binder-examples,python-conda_pip,master,37,37
1141,christophM,iml,master,37,37
1142,data-8,textbook,gh-pages,37,34
1143,dlab-berkeley,python-fundamentals,master,37,32
1144,ds-modules,LINGUIS-110,master,37,37
1145,edystein,ml_intro,master,37,37
1146,fabiocolombo,mlTeachings,master,37,37
1147,fangohr,finmag,master,37,29
1148,iovannipizzi,schrpoisson_2dmaterials,master,37,37
1149,industrial-optimization-group,desdeo-vis,master,37,37
1150,johnkit,jupyterlab_geojs,demo-july,37,37
1151,julianofoleiss,BCC35G,master,37,33
1152,Microsoft,cognitive-services-notebooks,master,37,37
1153,openpiv,openpiv_basics,master,37,34
1154,paob,pyexam-aftermath,master,37,30
1155,pymc-devs,resources,master,37,31
1156,rhacking,jupyter-test,master,37,15
1157,sainag2473,ModalAnalysis_MAC_and_Modalupdating,master,37,37
1158,scikit-hep,uproot,master,37,37
1159,scottythered,absolute-basics-of-jupyter,master,37,34
1160,sfsheath,heath-lod-cookbook,master,37,37
1161,spatialaudio,signals-and-systems-lecture,master,37,35
1162,tlbbd-spring2018,lab_03,master,37,36
1163,tomopy,tomopy,master,37,37
1164,WesleyTheGeolien,data_analytics_courses,master,37,37
1165,x-calibre,FITS-header,master,37,37
1166,afochi,ifes-cpp,master,36,36
1167,baharmon,digital-culture-seminar,master,36,36
1168,boazkat,WeizmannWorkshop2018Empty,master,36,36
1169,bwilk7,CMSC433,Spring2018,36,33
1170,data-8,textbook,gh-pages,36,36
1171,data-8,textbook,gh-pages,36,36
1172,econ-ark,DemARK,master,36,36
1173,econ-ark,DemARK,master,36,36
1174,FlorianWilhelm,distvis,master,36,36
1175,inbo,pywhip,master,36,36
1176,IntelRealSense,librealsense,jupyter,36,36
1177,ipython,ipython,6.x,36,36
1178,jdwittenauer,ipython-notebooks,master,36,36
1179,ljhearne,Norms,master,36,36
1180,mkarakoc,Titresim_ve_Dalgalar_Linux,master,36,22
1181,mmatera,qmnotebooks,master,36,36
1182,mrocklin,dask-binder,master,36,31
1183,NathanSandford,Chempy-Widget,master,36,36
1184,PGE383-HPC,live_lectures,master,36,36
1185,qmisr,mis492,master,36,28
1186,QuantStack,xwidgets,0.8.2,36,36
1187,trdurrant,charged-defects,master,36,36
1188,turketwh,CSC385_Fall2018,master,36,36
1189,turketwh,CSC385_Fall2018,master,36,36
1190,4QuantOSS,DashIntro,master,35,33
1191,bayesgroup,deepbayes-2018,master,35,35
1192,bloomberg,bqplot,stable,35,35
1193,BruceSherwood,vpython-jupyter,master,35,35
1194,CartoDB,cartoframes,binder-examples,35,35
1195,clement-plancq,python-im,master,35,35
1196,dariomalchiodi,deeplearning-helloworld,master,35,34
1197,data-8,textbook,gh-pages,35,35
1198,data-8,textbook,gh-pages,35,35
1199,data-8,textbook,gh-pages,35,35
1200,datalifelab,corso-open-notebook-science,master,35,35
1201,dwaithe,model-training,master,35,35
1202,exeter-python,2018-06-beginners-workshop,master,35,35
1203,johonea4,AI-Aeromechanics-Notebook,master,35,35
1204,mforbes,binder_tov_explorer,master,35,18
1205,MIDS-INFO-W18,Drills,master,35,35
1206,mirestrepo,julia_plotting_tutorials,master,35,35
1207,mmmlc,mlTeachings,master,35,35
1208,Nanosim-LIG,boast,binder,35,35
1209,ot-lsaxton,Machine-Learning-Trainings,master,35,35
1210,PGE383-HPC,live_lectures,master,35,35
1211,QuantStack,xtensor-io,master,35,23
1212,RosettaCommons,pyrosettascripts_demo,master,35,34
1213,SCPSscience,Notebooks,master,35,33
1215,statOmics,proteomicsShortCourse,master,35,35
1216,sympy,scipy-2017-codegen-tutorial,master,35,34
1217,twosigma,beakerx,0.13.0,35,30
1218,4QuantOSS,DashIntro,master,34,32
1219,abinit,abitutorials,master,34,17
1220,AsBaZa,R-Ikasten,master,34,34
1221,astropy,astropy-tutorials,master,34,34
1222,brian-team,brian2-binder,master,34,34
1223,bwilk7,CMSC331,Spring2018,34,34
1224,caijialing1993,wshuyi-demo-time-series,master,34,34
1225,data-8,textbook,gh-pages,34,34
1226,data-8,textbook,gh-pages,34,34
1227,econ-ark,DemARK,master,34,34
1228,bonomib,mlTeachings,master,34,14
1229,campanella,pydata-london-2018,master,34,34
1230,Gordon-Leo,demo-topic-model,master,34,34
1231,jadsonlucio,Mdplayerlol,master,34,34
1232,jbribet,suite_heron,master,34,34
1233,kmader,quantitative-big-imaging-2018,master,34,26
1234,mikkokotila,jupyter4kids,master,34,34
1235,MindFoundry,optaas-tutorials,beta,34,34
1236,openmodal,pyuff,master,34,34
1237,poliastro,poliastro,v0.9.1,34,34
1238,sbesson,notebooks,master,34,10
1239,sspickle,instrumentation-projects.git,master,34,34
1240,thompsonsed,pycoalescence_examples,master,34,34
1241,TiesdeKok,LearnPythonforResearch,master,34,32
1242,topocm,topocm_content,master,34,33
1243,Zsailer,bioinformatics-demo-2,master,34,34
1244,alexjungaalto,SaloMLandAI2018,master,33,33
1245,applied-bioinformatics,built-iab,master,33,33
1246,avirshup,mdt-gallery-test,master,33,33
1247,binder-examples,data-quilt,master,33,31
1248,CMSC6950,cmsc6950.github.io,master,33,33
1249,cosmo-grant,long-run-and-short-run,master,33,33
1250,CWTSLeiden,CSSS,master,33,33
1251,data-8,textbook,gh-pages,33,33
1252,data-8,textbook,gh-pages,33,33
1253,econ-ark,DemARK,master,33,33
1254,feststelltaste,software-analytics,master,33,10
1255,fonnesbeck,bios8366,master,33,29
1256,eo-python,notebooks,master,33,33
1257,GLAM-Workbench,trove-newspapers,master,33,33
1258,ismms-himc,clustergrammer_signature_methods,master,33,33
1259,karlafej,python_tip,master,33,33
1260,kmader,quantitative-big-imaging-2018,master,33,26
1261,martindurant,intake-release-blog,master,33,33
1262,matheusmota,mybinder-test,master,33,33
1263,mikkokotila,jupyter4kids,master,33,33
1264,mpbeu,intro,master,33,32
1265,NNHSSE201718,vpython1,gui,33,33
1266,ooi-data-review,2018-data-workshops.git,friedric,33,33
1267,pymc-devs,resources,master,33,32
1268,python-joinville,codelikeagirl-course,master,33,33
1269,Roger-luo,TutorialZH.jl,master,33,32
1270,scott-maddox,obpds-binder,master,33,33
1271,shawngraham,bindr-test-Identifying-Similar-Images-with-TensorFlow,master,33,33
1272,twosigma,beakerx,0.16.0,33,33
1273,ActuariesInstitute,analytics-snippet-multitask,master,32,32
1274,alchemyst,Dynamics-and-Control,master,32,31
1275,AlexandraVolochova,PythonHSE,master,32,32
1276,artfisica,notebooks,master,32,31
1277,brian-rose,ClimateModeling_courseware,master,32,31
1278,ccbrain,nipype_tutorial,master,32,32
1279,coltonlloyd,qbio,master,32,32
1280,cosmicfish,cosmicfish,master,32,31
1281,data-8,textbook,gh-pages,32,31
1282,djsegal,julia-dash,master,32,32
1283,FADHLyemen,lilikoi_Fadhl,master,32,32
1284,FrontierResearch,Tanzania,master,32,32
1285,futurice,ml-crash-course,master,32,32
1286,bonomib,mlTeachings,master,32,32
1287,GroupeCalcul,canum-2018,master,32,32
1288,ICPSR,mybinder_test,master,32,32
1289,InsightSoftwareConsortium,itk-jupyter-widgets,master,32,32
1290,joferkington,joanns_mba_plots,master,32,32
1291,kmader,quantitative-big-imaging-2018,master,32,32
1292,mforets,Binder_Julia_Demos,master,32,32
1293,mickypaganini,gan_tutorial,master,32,27
1294,PGE383-HPC,live_lectures,master,32,32
1295,pinga-lab,paper-moho-inversion-tesseroids,master,32,28
1296,poliastro,poliastro,0.10.x,32,32
1297,poliastro,poliastro,0.8.x,32,27
1298,QuantStack,xtensor,0.16.3,32,32
1299,rafaelbidese,fvc-practice,master,32,32
1300,spacetelescope,wfirst-tools,master,32,32
1301,spopham,NBC_computation,master,32,32
1302,thomasfillon,Timeside-demos,master,32,31
1303,tiggerntatie,emagnet-py,master,32,32
1304,tpaviot,pythonocc-binderhub,master,32,28
1305,usuario,SimulacroExamen,master,32,32
1306,arabic-digital-humanities,demo-notebooks,master,31,31
1307,arokem,conv-nets,master,31,31
1308,CAChemE,learn,master,31,31
1309,chestrays,jupyanno,master,31,31
1310,ctb,2018-dcppc-minid-agr,master,31,21
1311,DipankarBahirvani,Python-Notebooks,master,31,31
1312,dsondak,geclabs-may2018,master,31,31
1313,fomightez,mfannot-binder,master,31,31
1314,fwmeng88,science4fun,convex_opt,31,31
1315,HamiltonLabUT,transcription,master,31,31
1316,cchengithub,project-k,master,31,30
1317,ismms-himc,clustergrammer_signature_methods,master,31,31
1318,jaykul,Jupyter-PowerShell,de,31,31
1319,kmader,quantitative-big-imaging-2018,master,31,28
1320,kossiitkgp,Python-Classes,master,31,31
1321,leelabcnbc,cnn-v1-jcns2018,master,31,31
1322,leipzig,Intro2DS_demo1,master,31,31
1323,matthewdmanning,flood_data,containers,31,31
1324,mdeff,ntds_2017,outputs,31,28
1325,MIDS-INFO-W18,Drills,master,31,31
1326,pedrosiracusa,curso_intro_prog_biol,semabio_udf_2018,31,31
1327,PGE383-HPC,live_lectures,master,31,31
1328,plotly,jupyterlab-chart-editor,master,31,29
1329,robelgeda,wfirst-tools.git,master,31,31
1330,serithemage,2017_csat_mathematics_type_ga,master,31,29
1331,simpeg,em_notebooks,master,31,31
1332,spatialaudio,digital-signal-processing-lecture,master,31,29
1333,springcoil,probabilisticprogrammingprimer,master,31,31
1334,sumandoc,Perl-6-notebook,master,31,23
1335,TomoyukiAota,visualization_of_missing_value_location,master,31,31
1336,twosigma,beakerx,1.0.0,31,31
1337,VivianePons,public-notebooks,master,31,31
1338,yoavram,Py4Eng,master,31,31
1340,a-marano,Taller-Optimizacion-Python-Pyomo,master,30,26
1341,abprice,CGM_Jupyter_Breakout_Session_170512,master,30,30
1342,Astrodude11,Ithaca-Python-Workshop,master,30,30
1343,carjed,helmsman,master,30,30
1344,ctb,2018-ggg-jetstream-usage,master,30,19
1345,dariomalchiodi,stat-lectures,master,30,14
1346,data-8,textbook,gh-pages,30,30
1347,DavidWRobson,ocafix,master,30,30
1348,eXtremeGravityInstitute,LISA_Sensitivity.git,master,30,29
1349,abiitokazu,python-practices,master,30,30
1350,eoscixyz,em_apps,master,30,29
1351,lue-viz,glue-example-data,jupyter,30,30
1352,ofesh,Retropy,master,30,30
1353,IFAE,binder-cosmo,master,30,25
1354,jedrek1993,Akademia,trainer_branc,30,30
1355,JobJob,CFViz,master,30,30
1356,johnrwilson,TextbookCode,master,30,30
1357,leipzig,Intro2DS_demo4,master,30,30
1358,materialsproject,mapidoc,master,30,23
1359,nthiery,harmonic-modules,master,30,30
1360,OasisLMF,ReinsuranceTestTool,oed_qs,30,30
1361,openfisca,tutorial,master,30,28
1362,pacm,dl-workshop,master,30,30
1363,QuantStack,xwidgets,stable,30,30
1364,rawlik,julia-seminar,master,30,30
1365,rmorshea,purly,react,30,30
1366,scikit-hep,awkward-array,0.0.5,30,30
1367,ssanderson,foundations-of-numerical-computing,master,30,30
1368,treehouse-projects,python-introducing-pandas,master,30,30
1369,WamdamProject,WaMDaM_JupyteNotebooks,master,30,30
1370,WSU-DataScience,ICOTS10_Data_Visualization,master,30,30
1371,4Quant,MaxIV_SummerSchool_2018,master,29,29
1372,AaronWatters,least_absolute_regression,master,29,29
1373,agile-geoscience,xlines,master,29,28
1374,alex-konovalov,gap-teaching,master,29,29
1375,alexboiboi,my-notebooks,master,29,29
1376,applied-bioinformatics,built-iab,master,29,29
1377,astropy,astropy-tutorials,master,29,29
1378,charkow,ecdf_quantiles_demo,master,29,29
1379,CoolSciGuy,Test,master,29,29
1380,data-8,textbook,gh-pages,29,29
1381,data-8,textbook,gh-pages,29,29
1382,data-8,textbook,gh-pages,29,26
1383,epirecipes,epirecipes-binder,master,29,29
1384,eo-python,2018,master,29,29
1385,imr-pucrs,didactic_resources,master,29,29
1386,ipython,ipython-in-depth,master,29,29
1387,john-kelly,john-kelly-org,master,29,29
1388,jtwhite79,sire,master,29,29
1389,kmader,quantitative-big-imaging-2018,master,29,29
1390,LarsKaleschke,Interactive,master,29,29
1391,MIDS-INFO-W18,Drills,master,29,29
1392,mikkokotila,jupyter4kids,master,29,29
1393,oyramn,F.A.I.R-and-Reproducible-statistical-analysis-on-NHANES-data,master,29,29
1394,psychemedia,openlearn_scripted-form,master,29,29
1395,qinfer,qinfer-examples,master,29,26
1396,QuantStack,xeus-cling,0.2.3,29,25
1397,Roger-luo,TutorialZH.jl,master,29,29
1398,samaloney,rhessi17,master,29,29
1399,sjoerddehaan,ml-course-2018,master,29,25
1400,synergy-project,summer-school,master,29,22
1401,wragge,ozglam-workbench,master,29,29
1402,antopolskiy,20180313_parma_data_science_tidy_data,master,28,14
1403,bpesquet,deep-learning-workshop,master,28,21
1404,bradkav,Xenon1T-2018,master,28,28
1405,cmsopendata-finland,Opedemot-kesa2018,master,28,28
1406,dask,dask-examples,master,28,28
1407,data-8,textbook,gh-pages,28,28
1408,data-8,textbook,gh-pages,28,28
1409,dhuppenkothen,cargese2018_tutorials,master,28,28
1410,engineersCode,EngComp,master,28,27
1411,flatironinstitute,FREYA,master,28,20
1412,lue-viz,glue-example-data,jupyter,28,28
1413,ermish,hkn-workshops,master,28,26
1414,intbio,dnaplotlibNB,master,28,28
1415,intermine,bosc-2018,master,28,28
1416,intermine,bosc-2018,master,28,28
1418,kcostya,mlcourse_open,master,28,16
1419,libocca,occa.py,0.3.9,28,28
1420,mrastgoo,euroscipy18-intro-python,master,28,28
1421,nCoda,binder-test,master,28,28
1422,petch,meshgen,master,28,28
1423,PGE383-HPC,live_lectures,master,28,28
1424,PrACiDa,EBAD,master,28,28
1425,psychemedia,ipython_magic_folium,master,28,26
1426,RemiLehe,warp_fbpic_hands_on,master,28,28
1427,RLesur,weasydoc-demo,master,28,27
1428,romainFr,CX-Functional-Analysis,master,28,26
1429,sametz,nmrtools,jupytertest,28,28
1430,Sedom9,learning,master,28,28
1431,siconos,siconos-tutorials,master,28,16
1432,sophiedeb,my_binder_files,master,28,10
1433,StevenCHowell,pyohio_2017_bokeh,master,28,28
1434,sumandoc,miniconda,master,28,25
1435,thijsp,Machine-Learning-in-Power-Systems,master,28,22
1436,turketwh,CSC341,08162018-branch,28,28
1437,twosigma,beakerx,0.21.0,28,28
1438,ubcgif,gpgLabs,master,28,25
1439,usma-eecs,cs486,master,28,28
1440,witekdev,ngs2-cycle2-pilot-data,replay3,28,28
1441,aborruso,bashnotebook,master,27,27
1442,adrienpacifico,openfisca-france-notebook-story,master,27,27
1443,AM207,2018spring,master,27,26
1444,andersy005,beyond-matplotlib-tutorial-sea-2018,master,27,21
1445,bwilk7,CMSC433,Spring2018,27,24
1446,cadair,rcsc_notebooks,master,27,27
1447,carlvitzthum,mobilechelonian,master,27,22
1448,charuleka,LBNL-CA-ProdWaterDisposal,master,27,27
1449,clemsonciti,cuhackit-python,master,27,22
1450,d4dsyd,p-nsw-fuel-prices,master,27,27
1451,dask,dask-examples,master,27,27
1452,defeo,PostScryptum,master,27,27
1453,diana-hep,histbook,master,27,27
1455,dorodnic,binder_test,master,27,27
1456,eliiza,challenge-hamlet,master,27,24
1457,elwillan,Taller1,master,27,27
1458,epfl-lts2,pyunlocbox,master,27,21
1459,everhartlab,IntroR-for-PLPT802,master,27,15
1460,facciol,IS18notebook,master,27,27
1461,GLAM-Workbench,trove-newspapers,master,27,27
1462,Gordon-Leo,demo-topic-model,master,27,27
1463,jbribet,Triangle_Pascal,master,27,27
1464,leipzig,Intro2DS_demo2,master,27,27
1465,memair,jupyter,master,27,27
1466,mickypaganini,gan_tutorial,master,27,27
1467,mthmn20,graphing_notebooks,master,27,27
1468,mwouts,nbrmd,master,27,27
1469,Nanosim-LIG,boast,binder,27,27
1470,ogrisel,notebooks,master,27,20
1471,paulber,MiseANiveauMathematiques,master,27,27
1472,paulo-raca,jupyter-regression,master,27,27
1473,pylbm,talks,master,27,12
1474,RemiLehe,warp_fbpic_hands_on,protected,27,27
1475,scott-maddox,obpds-binder,master,27,26
1476,sfsheath,c-in-c-nomisma-access,master,27,27
1477,sharpsss,midair_stats,master,27,27
1478,slaris,JupyterLabDemo,master,27,27
1479,truatpasteurdotfr,imp_tutorial,develop,27,27
1480,turketwh,CSC341,master,27,27
1481,uribo,hello_rmarkdown,master,27,18
1482,weiji14,nz_space_challenge,master,27,27
1483,willkessler,jupytergraffiti,master,27,27
1484,Y-oHr-N,kenchi,master,27,27
1486,AdamErck,python,master,26,26
1487,AeroPython,PyFME,master,26,26
1488,aforechi,ifes-alg-2018-2.git,master,26,26
1489,ahwillia,Williams-etal-Synaptic-Transport,master,26,26
1490,albalu,gdso-avito,master,26,26
1491,alon211,LearnPython,master,26,26
1492,antopolskiy,caffeina-data-vis.git,master,26,26
1493,Axelrod-Python,Axelrod-notebooks,master,26,20
1494,boazkat,WeizmannWorkshop2018,master,26,26
1495,bwilk7,CMSC331,Spring2018,26,19
1496,cms-opendata-education,scool-lab-sc18-opendata,master,26,26
1497,ctb,2016-mybinder-irkernel,master,26,25
1498,data-8,textbook,gh-pages,26,26
1499,data-8,textbook,gh-pages,26,26
1500,data-8,textbook,gh-pages,26,24
1501,data-8,textbook,gh-pages,26,26
1502,deniederhut,Pandas-Tutorial-SciPyConf-2018,master,26,26
1503,doingmathwithpython,code,master,26,26
1504,fomightez,SynChro-binder,master,26,26
1505,fredzett,Example,master,26,26
1506,Gikerl,CntrStatsJupyter,master,26,26
1507,ottbox,hottbox-tutorials,master,26,26
1508,intermine,intermine-ws-python-docs,master,26,26
1509,jhmarcus,HGDP_PopStruct_Exercise,master,26,26
1510,ligo-cbc,binder,master,26,18
1511,newlawrence,Talks,calculate,26,26
1512,nteract,examples,master,26,26
1513,patanijo,PHM2016,master,26,26
1514,paulber,IntroductionAMatlab,master,26,26
1515,Photon-HDF5,Photon-HDF5-Converter,master,26,26
1516,quantopian,qgrid-notebooks,master,26,26
1517,rshul,pydat,master,26,26
1518,sanfooh,mybindertest.git,master,26,26
1519,sbl-sdsc,mmtf-genomics,master,26,26
1520,shaharkadmiel,random_stuff,master,26,9
1521,sjoerddehaan,ml-course-2018,master,26,26
1522,sofroniewn,tactile-coding,master,26,26
1523,twosigma,beakerx,0.20.0,26,26
1524,iviblue,demo-customer-churn-ann.git,master,26,26
1525,AaronWatters,jp_doodle,master,25,25
1526,allendowney,compstats,master,25,23
1527,altair-viz,jupyterlab_voyager,master,25,25
1528,amilumas,GreenChemistryPython,master,25,25
1529,antocuni,talks,master,25,25
1530,barbagroup,Caminos,master,25,25
1531,cds-astro,astroquery,notebook_use_case,25,25
1532,charlesfrye,DSW2018-tutorials,master,25,25
1533,consideratio,jupyter-se-math-teacher,master,25,25
1534,damianavila,damian_blog,master,25,25
1535,data-8,textbook,gh-pages,25,25
1536,dianetam523,Python-Mathematics-Handbook,master,25,25
1537,diyclassics,sunoikisisdc-cltk,master,25,25
1538,EmanuelFontelles,geospacial-plot.git,master,25,25
1539,exeter-python,2018-06-beginners-workshop,master,25,25
1540,fbkarsdorp,python-course,master,25,25
1541,fthoele,2018-06-11-Gothenburg-Teaching-materials,master,25,25
1542,ersabec,LHCbExtrapolations.git,master,25,25
1543,te620v,PracticalDataScience,master,25,25
1544,wenolelegars,reverb,master,25,25
1545,IbrahimAlshubaily,HW,master,25,25
1546,inducer,splash-activities,master,25,25
1547,InsightSoftwareConsortium,itk-jupyter-widgets,master,25,25
1548,ivanovitchm,imd0033_2018_1.git,master,25,22
1549,joe-from-mtl,ele8812_Cours_AnalyseMultiresolution,master,25,15
1550,JuanCab,AstroInteractives,master,25,25
1551,kwb-r,apps,GWAmanager,25,25
1552,kwb-r,kwb.qmra,master,25,20
1553,MaraGer16,Positorium,master,25,25
1554,maurergroup,CompChem_Notebooks,master,25,10
1555,minrk,nbstencilaproxy,master,25,25
1556,MontpellierRessourcesImagerie,jupyter-workshop-mifobio-2018.git,master,25,25
1557,mossmatters,PhyPartsPieCharts,master,25,18
1558,naturesmathematiques,seconde,master,25,25
1559,numba,numba-examples,master,25,25
1560,RallyDr,earth-temperature,master,25,22
1561,rlbarter,ggplot-jgi,master,25,22
1563,sfstoolbox,sfs-python,0.4.0,25,24
1564,shapelets,khiva-use-cases,master,25,25
1565,simonsfoundation,jp_gene_viz,master,25,22
1566,sjoerddehaan,ml-course-2018,master,25,19
1567,tboch,mocpy,master,25,23
1568,ubcgif,gpgLabs,master,25,25
1569,yandexdataschool,Practical_DL,fall18,25,25
1572,artefactory,matrix_exercice,master,24,24
1573,asetoodehnia,Intro-to-AI-Workshop,master,24,24
1574,astropy,astropy-tutorials,master,24,24
1575,avehtari,bda_py_demos,master,24,24
1576,brian-team,brian2-binder,master,24,23
1577,callysto,callysto-sample-notebooks.git,master,24,24
1578,data-8,textbook,gh-pages,24,24
1579,data-8,textbook,gh-pages,24,23
1580,deathbeds,sweet,master,24,24
1581,diana-hep,pyhf,master,24,24
1582,ecell,ecell4-notebooks,master,24,23
1583,econ-ark,DemARK,stable,24,24
1584,exeter-python,2018-06-beginners-workshop,master,24,24
1585,fumitoh,ifrs17sim-demo,master,24,24
1586,bonomib,mlTeachings,master,24,24
1587,aseebehsan,Conjoint-Analysis-In-Python,master,24,24
1588,InsightSoftwareConsortium,itk-jupyter-widgets,master,24,24
1589,ISWBenjaminkaiser,STdWZM,master,24,24
1590,jaimevalero,python-machine-learning-book-2nd-edition,light,24,24
1591,javierfdr,credit-scoring-analysis,master,24,24
1592,JG-QuarkNet,CRShowerStudy,master,24,24
1593,junpenglao,Bayesian-Cognitive-Modeling-in-Pymc3,master,24,23
1594,jupyterlab,jupyterlab-demo,18a9793b58ba86660b5ab964e1aeaf7324d667c8,24,24
1595,kstrauch94,Crime-Prediction-with-Tweets,master,24,17
1596,lalwanigunjan,AdsTeam6Presentation,master,24,15
1597,matheusmota,INF-0331,master,24,24
1598,mne-tools,mne-binder,master,24,24
1599,mpcmpc,PH2103,master,24,24
1600,nadiahpk,replacement-clutches,master,24,24
1601,nteract,vdom,master,24,22
1602,OMS-NetZero,FAIR,master,24,24
1603,OpenMined,PySyft,master,24,24
1604,oxpeter,bioinformatics_by_jove,master,24,24
1605,parmentelat,r2lab-demos,master,24,10
1606,parmentelat,RISE.git,doc2,24,24
1607,PierreMarion23,latbuilder,polynomial,24,24
1608,rajathkmp,Python-Lectures,master,24,24
1609,sintekllc,map_ice,master,24,24
1610,stevetsa,nlmreproducibility,master,24,24
1611,tdhopper,notes-on-dirichlet-processes,master,24,21
1612,4QuantOSS,DashIntro,master,23,20
1613,a-paxton,living-documents,master,23,11
1614,AllenDowney,ThinkBayes2,master,23,23
1615,brianspiering,word-embeddings-workshop,master,23,19
1616,BSchilperoort,hydrproc,master,23,23
1617,CINERGI,jupyter-cinergi,master,23,23
1618,cmu-mars,model-learner,tutorial,23,23
1619,DamCB,tyssue-demo,master,23,23
1620,data-8,textbook,gh-pages,23,23
1621,djkormo,PythonForML,master,23,23
1622,engineersCode,EngComp1_offtheground,master,23,23
1623,fontclos,IsingModel,master,23,23
1624,fumitoh,lifelib,binder,23,23
1625,chevrot,WebNmoldyn,master,23,15
1626,eo-python,2018,master,23,23
1627,lue-viz,glue-jupyter,mybinder,23,23
1628,armslab,epistasis-notebooks,master,23,22
1629,cchengithub,peforth,develop,23,22
1630,itchman-sam,Meat_sensing,master,23,23
1631,iceworlder,jupyter_notebook,master,23,23
1632,IntelRealSense,librealsense,jupyter,23,23
1634,ipython,ipython-in-depth,master.,23,22
1635,jhamrick,nbflow,master,23,23
1636,kmader,quantitative-big-imaging-2018,master,23,23
1637,Lett1,PrimefactorOddEven,master,23,18
1638,maartenbreddels,talk-ipyvolume-scipy2018,master,23,23
1639,MDAnalysis,binder-notebook,master,23,23
1640,MindFoundry,optaas-tutorials,test,23,23
1641,mondeja,milanuncios,master,23,22
1642,MzCarrie,demo-sentiment-analysis.git,master,23,23
1643,nhdaly,jupyter-binder,master,23,23
1644,nihcompmed,fem,master,23,23
1645,ocuisenaire,ASD1-notebooks,master,23,23
1646,OpenMined,PySyft,master,23,23
1647,pnavaro,python-notebooks,github,23,21
1648,pylbm,pylbm,develop,23,23
1649,qmisr,mis492,master,23,23
1650,randulphmorales,tropchem,master,23,17
1651,raynamharris,DissociationTest,master,23,23
1652,scikit-beam,ipywe,master,23,13
1653,sje30,rgc-mosaics,master,23,23
1654,story645,AnatomyOfMatplotlib,master,23,23
1655,strongdan,HarvardX-PH526x-Using-Python-for-Research,master,23,20
1656,SylvainCorlay,jupyterlab-demo,improve-xeus-notebook,23,23
1657,terna,microHayekianMarket,master,23,23
1658,terna,SLAPP3,master,23,21
1659,thomasbriner,word2vec-Schritt-fuer-Schritt,master,23,23
1660,TomFahey,Hall-Effect-Lab-Data,master,23,15
1661,unh-hpc,phys407s,master,23,23
1662,xueharry,RAC,master,23,22
1663,4QuantOSS,DashIntro,master,22,20
1664,ActuariesInstitute,analytics-snippet-multitask,master,22,22
1665,alessandro-giusti,teaching-notebooks,master,22,19
1666,AllenDowney,fluent-python-notebooks,master,22,20
1667,AllenDowney,ThinkDSP,master,22,22
1668,arokem,white-matter-matters,master,22,22
1669,brian-team,brian2-binder,master,22,21
1670,CarrollAetna,team_interviews,master,22,22
1671,chauhans99,834_project,master,22,12
1672,choldgraf,ecogtools,master,22,21
1673,csc448spring18,lab-2-team-4,master,22,22
1674,digital-underground,ssf_ml.git,master,22,22
1675,eds-uga,csci1360e-su18,master,22,22
1676,epirecipes,epicookbook,master,22,22
1677,everhartlab,IntroR-for-PLPT802,master,22,16
1678,eXtremeGravityInstitute,LISA Sensitivity.git,master,22,22
1679,fabiocolombo,mlTeachings,master,22,22
1680,fangohr,introduction-to-python-for-computational-science-and-engineering,master,22,22
1681,fangohr,paper-supplement-standard-problem-dmi,master,22,15
1682,fbkarsdorp,python-course,master,22,22
1683,fomightez,mfannot-binder,master,22,22
1684,ottbox,hottbox-tutorials,master,22,22
1685,jgomezdans,dalec_pf,master,22,8
1686,jvkersch,bio-tutorial,master,22,22
1687,jwkvam,plotlywrapper,master,22,21
1688,kdberends,dotter,master,22,16
1689,marinavas,poplocavanje,master,22,22
1690,mcmartins,francy,master,22,22
1691,mkarakoc,Titresim_ve_Dalgalar,master,22,18
1692,N2ITN,GoogleMusicFavs,master,22,19
1693,naturesmathematiques,seconde,master,22,22
1694,ngs-docs,2018-ggg201b,master,22,21
1695,ouseful-course-containers,ou-tm112-notebooks,master,22,22
1696,parente,nbestimate,master,22,20
1697,parente,wildwolfwatch,master,22,17
1698,PrincetonUniversity,PsyNeuLink,master,22,22
1699,productml,blurr-examples,master,22,22
1700,QuantStack,xeus-cling,0.0.6,22,21
1701,QuantStack,xeus-cling,0.4.5,22,22
1702,QuantStack,xplot,0.8.0,22,22
1703,rballester,ttrecipes.git,master,22,22
1704,ReemUW,EP_CaseStudy,master,22,22
1705,Rinatius,carel-jupyter,master,22,22
1706,rmorshea,pytorch-intro-workshop,binder,22,22
1707,SciRuby,sciruby-notebooks,master,22,22
1708,shivupa,QMMM_study_group,master,22,22
1709,szamarri,notebook_binder,master,22,19
1710,tanto30,VpyhtonPhysics,master,22,9
1712,wilfredinni,python-cheatsheet,master,22,21
1713,yasht7,RNAseq-Workdlow-CaseStudy,master,22,21
1714,yochannah,intermine-ws-python-docs,master,22,22
1715,8uurg,HomeworkMetaheuristicsII,master,21,19
1716,andreas-zeller,papers-as-modules.git,master,21,21
1717,apache,incubator-toree,master,21,21
1718,arjunbazinga,MultiArmedBandits,master,21,21
1719,bjsmith,motivation-simulation,master,21,21
1720,blue-yonder,tsfresh,master,21,19
1721,bradkav,CEvNS,master,21,21
1722,brian-team,brian2-binder,master,21,20
1723,brianspiering,keras-intro,master,21,21
1724,brittaneyross,abm_brown_bag,master,21,21
1725,CalebeCavalcante,MyBinder,master,21,20
1726,CatCooker,jupter.git,master,21,21
