,org,repo,ref,pageviews,unique_pageviews
136,ainm,notebook-pytraj,master,350,330
137,jupyterhub,zero-to-jupyterhub-k8s,master,350,340
138,sergiourjc,LabsBiofisica,master,344,344
139,twosigma,beakerx,0.16.1,340,340
140,binder-examples,zero-to-binder,master,332,317
141,data-8,textbook,gh-pages,330,330
142,mwarscher,R-Intro.git,master,330,330
143,bloomberg,bqplot,0.10.4-binder2,325,301
144,AllenDowney,ModSimPy,master,324,315
145,binder-examples,multi-language-demo,master,323,323
146,4QuantOSS,scijava-jupyter-kernel,master,317,300
147,UCLA-Plasma-Simulation-Group,JupyterPIC,master,309,240
148,rougier,numpy-100,master,305,240
149,4QuantOSS,DashIntro,master,303,279
150,brian-team,brian2-binder,master,302,295
151,jmunroe,phys2820-fall2018,master,302,302
152,wshuyi,demo-summarytools-binder,master,299,299
153,jupyter-widgets,tutorial,master,295,295
154,Coleridge-Initiative,ada-intro-python,master,294,294
155,twosigma,beakerx,0.15.2,294,294
156,cantera,cantera-jupyter,master,293,289
157,ja-thomas,whyr_2018_intro_mlr,master,288,288
158,kelvin1020,orbit,master,285,285
159,BENGAL-TIGER,YOUcanDoThermodynamics,master,283,283
160,binder-examples,r,master,281,281
161,data-8,textbook,gh-pages,276,271
162,RobinL,fuzzymatcher,master,275,270
163,jrzech,reproduce-chexnet,master,274,274
164,GT-IDEaS,SkillsWorkshop2018,master,273,273
165,ineeth52,tensorflow-keras-intro,master,273,273
166,maartenbreddels,ipyvolume,master,271,265
167,bonomib,mlTeachings,master,269,269
168,sachinruk,deepschool.io,master,269,247
169,rayh,swift-notebook-demo,master,268,268
170,alfaromurillo,sir_models_intro,master,265,265
171,christophM,iml,master,265,265
172,data-8,textbook,gh-pages,265,256
173,binder-examples,appmode,master,264,253
174,sourceryinstitute,jupyter-CAF-kernel,master,264,253
175,minrk,ligo-binder,master,263,236
176,liamtoney,ashfall_visual,master,260,260
178,brian-team,brian2-binder,master,258,238
179,data-8,textbook,gh-pages,256,256
180,mkarakoc,aim,master,255,255
181,florian-wagner,try.pygimli.org,master,254,246
182,Microsoft,cognitive-services-notebooks,master,254,230
183,silverpond,dl-workshop-pre-req,master,247,246
184,twosigma,beakerx,1.1.0,247,247
185,davidmascharka,tbd-nets,master,246,217
186,ellisonbg,ipyleaflet,0.6.8-binder,246,221
187,numba,numba-examples,master,246,246
188,sbl-sdsc,mmtf-workshop-2018,master,246,246
189,zachetienne,nrpytutorial,master,246,246
190,data-8,textbook,gh-pages,245,240
191,mmoelter,Phys133,master,244,214
192,yzhao062,Pyod,master,244,244
193,binder-examples,conda_environment,v1.0,243,232
194,toastedcrumpets,CCP5_Python_examples,master,241,241
195,cmsato,AnaliseAlgoritmos,master,240,240
196,ibrationtoolbox,vibration_toolbox,binder,240,224
197,xbresson,CE9010_2018,master,240,176
198,CartoDB,cartoframes,master,237,232
199,cmsato,AnaliseAlgoritmos,master,237,237
200,sbl-sdsc,mmtf-pyspark,master,237,210
202,folivetti,AprendizadoMaquina,master,236,191
203,wshuyi,demo-python-api-data-analysis,master,235,235
204,wilfredinni,python-cheatsheet,master,234,230
205,jakevdp,PythonDataScienceHandbook,master,233,231
206,SpencerPark,ijava-binder,master,233,233
207,wastro,PyCBC-Tutorials,master,232,231
208,altair-viz,altair_notebooks,master,229,217
209,RainCloudPlots,RainCloudPlots,master,229,229
210,bhugueney,binder-test,master,227,227
211,data-8,textbook,gh-pages,227,227
212,dummytutorialtt,python101,master,226,226
213,alonamit1729,Python-Sage-demos,master,224,224
214,QuantStack,xtensor,stable,224,224
215,engineersCode,EngComp1_offtheground,master,222,222
216,miykael,nipype_tutorial,master,222,193
217,story645,EAS213,master,222,222
218,eoscixyz,em-apps,master,220,220
219,coltonlloyd,qbio,master,217,217
220,bwilk7,CMSC331,Spring2018,216,156
221,quantopian,qgrid-notebooks,master,216,216
223,data-8,textbook,gh-pages,214,211
224,mondeja,pymarketcap,master,214,193
225,josephofiowa,data-science-intro-credit-data,master,213,213
226,atomantic,ml_class,master,209,196
227,jerome-barth,CoursPython3,master,209,148
228,libertyh,ECI2018,master,209,209
229,yuvipanda,binder-1,master,209,207
230,boeing,osmnx-examples,master,207,207
231,SimonBiggs,scriptedforms-examples,master,207,189
232,data-8,textbook,gh-pages,206,206
233,eo-python,notebooks,master,206,206
234,jonmmease,plotly_ipywidget_notebooks,master,205,205
235,Microsoft,cognitive-services-notebooks,master,204,193
236,data-8,textbook,gh-pages,201,199
238,4QuantOSS,scijava-jupyter-kernel,master,199,197
239,epirecipes,epicookbook,master,198,198
240,betteridiot,biocomp_bootcamp,master,197,197
241,cms-opendata-education,cms-online-notebooks-for-binder,master,197,197
242,BruceSherwood,vpython-jupyter,master,196,191
243,data-8,textbook,gh-pages,196,196
244,luispedro,talk-python-intro,master,196,196
245,data-8,textbook,gh-pages,195,195
246,yperspy,hyperspy-demos,master,195,184
247,yeatmanlab,AFQBrowser-demo,gh-pages,194,174
248,jakeret,tf_unet,master,192,187
249,wragge,ozglam-workbench,master,191,191
250,data-8,textbook,gh-pages,190,190
251,MIDS-INFO-W18,Drills,master,187,187
252,nackenho,TUDortmundMLSeminar,master,187,187
253,kelvin1020,orbit,master,185,185
254,DIYer22,boxx-ipynb,master,184,184
255,econ-ark,DemARK,master,184,184
256,MIDS-INFO-W18,Drills,master,184,184
258,rakael,curricula_lda_binder,master,182,182
259,AeroPython,PyFME,master,181,181
260,djsegal,julia-dash,master,180,160
261,kennyjoseph,cse199.git,master,180,180
262,twosigma,beakerx,0.17.1,180,180
263,twosigma,beakerx,0.18.2,180,180
264,bokeh,bokeh-notebooks,master,179,176
265,callysto,callysto-sample-notebooks.git,master,178,178
266,suchit-upx,visualizations,master,178,178
267,fabiocolombo,mlTeachings,master,177,177
268,binder-examples,julia-python,master,175,174
269,soltaniehha,R-Bootcamp,master,175,175
270,wshuyi,demo-gganimate-nycflights,master,173,173
271,wshuyi,demo-python-chinese-word-embedding,master,173,173
272,w-odw,odw-2018,master,172,149
273,matheusmota,INF-0331,master,172,172
274,data-8,textbook,gh-pages,171,171
275,Parsl,parsl-tutorial,master,170,170
276,astropy,astropy-tutorials,master,169,169
277,binder-examples,julia_python,master,169,160
278,fomightez,patmatch-binder,master,169,169
279,djsegal,webio-binder,master,168,88
280,fomightez,qgrid-notebooks,master,167,132
281,jorisvandenbossche,geopandas-tutorial,master,167,167
282,AllenDowney,BayesMadeSimple,master,166,164
283,cmsato,AnaliseAlgoritmos,master,166,166
284,twosigma,beakerx,0.19.0,166,166
285,binder-examples,jupyter-rise,master,165,155
286,data-8,textbook,gh-pages,165,165
287,dunovank,jupyter-themes,master,165,165
288,losc-tutorial,workspace,master,165,150
289,bccp,nbodykit-cookbook,master,164,151
290,SimonBiggs,scriptedforms-examples,master,164,164
291,aboussetta,giber.ai,master,163,163
292,altair-viz,altair_notebooks,master,163,163
293,data-8,textbook,gh-pages,163,163
294,dmollaaliod,comp336-2018,master,163,163
295,data-8,textbook,gh-pages,162,159
