,Pageviews,Unique Pageviews,user,repo,ref
139,11,8,eliiza,challenge-hamlet,master
140,11,7,kmader,jupyterlab-drawio,master
141,11,6,kmader,quantitative-big-imaging-2018,master
142,11,10,kwant-project,kwant-tutorial-2016,master
143,11,8,mforbes,binder_quantum_random_walk,master
144,11,8,Microsoft,cognitive-services-notebooks,master
145,11,6,Microsoft,cognitive-services-notebooks,master
146,11,8,mmngreco,quantdare_posts,master
147,11,11,QuantStack,xtensor,0.15.4
148,10,7,amaliestokholm,gammacephei,master
149,10,5,arash-ash,PyData101,master
150,10,8,binder-examples,appmode,master
151,10,10,binder-examples,jupyterlab,master
152,10,9,data-8,textbook,gh-pages
153,10,8,data-8,textbook,gh-pages
154,10,9,data-8,textbook,gh-pages
155,10,8,deepcollege,deeplearning,master
156,10,9,Emaasit,long-range-extrapolation,master
157,10,10,fomightez,qgrid-notebooks,master
158,10,9,Goodly,LTD,master
159,10,7,ligo-cbc,binder,master
160,10,6,mcmartins,francy,develop
161,10,6,mmoelter,Phys133,master
162,10,7,PierreMarion23,jupyter-widget-hello-world-binder,master
163,10,4,pymc-devs,resources,master
164,10,3,quinot,echo_kernel,master
165,10,5,RailProfAC,ifvMiniWorkshop,master
166,10,8,sourceryinstitute,jupyter-CAF-kernel,master
167,10,9,yeatmanlab,AFQBrowser-demo,gh-pages
168,9,6,agile-geoscience,in-bruges,master
169,9,7,akhil-singh007,temporary,master
170,9,8,binder-examples,conda_environment,v1.0
171,9,8,data-8,textbook,gh-pages
172,9,9,data-8,textbook,gh-pages
173,9,6,jkanner,test-odw,master
174,9,5,josephcslater,iPythonExamples,master
175,9,3,kholtz,eyh2018,master
176,9,9,kmader,quantitative-big-imaging-2018,master
177,9,3,LOHMgit,emdc_demo,master
178,9,5,marvinf95,vtna_frontend,master
179,9,7,MTDzi,EffectiveTensorflow,master
180,9,7,olivertlord,Xtools,master
181,9,8,sachinruk,deepschool.io,master
182,9,6,sjoerddehaan,ml-course-2018,master
183,9,5,uribo,hello_rmarkdown,master
184,8,8,agile-geoscience,notebooks,master
185,8,7,binder-examples,jupyter-rise,master
186,8,7,brian-team,brian2-binder,master
187,8,6,BruceSherwood,vpython-jupyter,master
188,8,8,data-8,textbook,gh-pages
189,8,8,data-8,textbook,gh-pages
190,8,8,data-8,textbook,gh-pages
191,8,8,data-8,textbook,gh-pages
192,8,7,data-8,textbook,gh-pages
193,8,3,dayton-dynamic,demos,master
194,8,7,florian-wagner,try.pygimli.org,master
195,8,6,haystax-technology,long-range-extrapolation,master
196,8,3,imadelhanafi,MyBinder-OnlineCollab,master
197,8,1,marcolondon,thebelab,master
198,8,5,mondeja,pymarketcap,master
199,8,4,olivertlord,Xtools,master
200,8,2,qmisr,mis492,master
201,8,7,tlbbd-spring2018,lab_03,master
202,8,7,xbresson,CE9010_2018,master
203,7,4,ahwillia,PyNeuron-Toolbox,master
204,7,3,arm61,isistrainingcourse_mar2018,master
205,7,6,bwilk7,CMSC433,Spring2018
206,7,6,cms-opendata-education,cms-online-notebooks-for-binder,master
